# https://www.apex-telescope.org/sites/chajnantor/atmosphere/transpwv/showData.php?pwv1=0.6&pwv2=0.5&pwv3=1&fstart=180&fstop=320&elev=45%20%3E
# APEX, Llano de Chajnantor, alt. 5100m 
# First column frequency in GHz. 
# Following column(s) transmissions(s) 
# First row PWVs 
#F/PWV  |  0.600  |  0.000  |  0.000  |  0.000  |  0.000
#__________________________________________
180.00  ,  0.777  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.10  ,  0.768  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.20  ,  0.759  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.30  ,  0.748  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.40  ,  0.737  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.50  ,  0.725  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.60  ,  0.713  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.70  ,  0.699  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.80  ,  0.685  ,  0.000  ,  0.000  ,  0.000  ,  0.000
180.90  ,  0.670  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.00  ,  0.654  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.10  ,  0.638  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.20  ,  0.620  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.30  ,  0.601  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.40  ,  0.582  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.50  ,  0.561  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.60  ,  0.540  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.70  ,  0.517  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.80  ,  0.494  ,  0.000  ,  0.000  ,  0.000  ,  0.000
181.90  ,  0.470  ,  0.000  ,  0.000  ,  0.000  ,  0.000
182.00  ,  0.445  ,  0.000  ,  0.000  ,  0.000  ,  0.000
182.10  ,  0.421  ,  0.000  ,  0.000  ,  0.000  ,  0.000
